task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
125,1000000000.0,20.0,5.0,30.0,100000.0,428155.3369772239,4.281553369772239,318565.98969036154,9589.34728688539,0.9707780242881501,0.3333333333333333,1.6786572132332367e-13,908117
126,1000000000.0,20.0,5.0,50.0,100000.0,388436.3584665513,3.884363584665513,279253.1131818816,9183.24528465835,0.9681619705175462,0.3333333333333333,6.394884621840902e-14,895238
127,1000000000.0,20.0,5.0,100.0,100000.0,359866.54741783446,3.5986654741783446,250984.5485246983,8881.998893127828,0.9658209223873092,0.3333333333333333,9.14823772291129e-14,882862
128,1000000000.0,20.0,8.0,10.0,100000.0,1241969.5200404606,12.419695200404606,1122610.4469360549,19359.073104510775,0.9830476446484142,0.2083333333333333,1.5720758028692217e-13,2363895
129,1000000000.0,20.0,8.0,30.0,100000.0,733149.6717996724,7.331496717996724,618949.4562171758,14200.21558250967,0.9775721030666671,0.2083333333333333,1.545430450278218e-13,2115074
130,1000000000.0,20.0,8.0,50.0,100000.0,648845.944987472,6.48845944987472,535530.6529634853,13315.292024002454,0.9757394727143505,0.2083333333333333,4.2721381987576024e-13,2064339
131,1000000000.0,20.0,8.0,100.0,100000.0,586276.4388623085,5.862764388623085,473643.31267156935,12633.126190769988,0.9740206903293617,0.2083333333333333,3.419486915845482e-13,2019900
132,1000000000.0,30.0,3.0,10.0,100000.0,709306.1786046305,7.093061786046305,596719.8551056857,12586.323498963051,0.9793431874796202,0.5555555555555555,1.8385293287792592e-13,827479
133,1000000000.0,30.0,3.0,30.0,100000.0,463681.1232290127,4.636811232290127,353523.56340074795,10157.55982825036,0.972070148326427,0.5555555555555555,8.260059303211165e-14,771787
134,1000000000.0,30.0,3.0,50.0,100000.0,428066.0880442406,4.280660880442406,318244.6870529946,9821.40099126211,0.9700627362925681,0.5555555555555555,6.927791673660977e-14,762307
135,1000000000.0,30.0,3.0,100.0,100000.0,401984.89430829306,4.0198489430829305,292419.7914195114,9565.10288875434,0.9683258895757325,0.5555555555555555,1.1812772982011666e-13,752259
136,1000000000.0,30.0,5.0,10.0,100000.0,1318091.0233612214,13.180910233612215,1197811.2999744185,20279.72338681493,0.9833512249923304,0.3333333333333333,1.5987211554602254e-13,2133259
137,1000000000.0,30.0,5.0,30.0,100000.0,812250.0307812234,8.122500307812235,696931.0390170505,15318.991764142134,0.978492114984719,0.3333333333333333,2.8332891588433995e-13,1924520
138,1000000000.0,30.0,5.0,50.0,100000.0,726608.274553963,7.26608274553963,612158.1778707011,14450.096683223595,0.9769391862985725,0.3333333333333333,3.8813396940895473e-13,1880166
139,1000000000.0,30.0,5.0,100.0,100000.0,662732.8975000997,6.627328975000998,548956.9887890134,13775.908711099068,0.9755196314765231,0.3333333333333333,2.5579538487363607e-13,1840740
140,1000000000.0,30.0,8.0,10.0,100000.0,2549291.392161644,25.49291392161644,2413352.1704969127,35939.22166451514,0.9853266860040638,0.2083333333333333,6.181721801112872e-13,5385603
141,1000000000.0,30.0,8.0,30.0,100000.0,1593887.2710085474,15.938872710085475,1467791.1082227528,26096.162785573306,0.982531370812085,0.2083333333333333,5.986322548778844e-13,4733592
142,1000000000.0,30.0,8.0,50.0,100000.0,1413932.651410349,14.13932651410349,1289708.8443823138,24223.807027998682,0.9815638898979838,0.2083333333333333,1.0045297926808416e-12,4589228
143,1000000000.0,30.0,8.0,100.0,100000.0,1280137.6158497932,12.801376158497932,1157329.333646188,22808.28220358197,0.9806732012459569,0.2083333333333333,9.903189379656396e-13,4471954
